City,Grad+/Pro_Rate,HS_Grad,No_HS_Diploma,Median_Earnings,Unemployment_Rate,Population,Crime_Rate,Vacancy_Rate,Enforcement_Rate,Poverty_Rate,Pub_Health_Rate,Priv_Health_Rate
tigard,0.44587019131865874,7641.0,807.0,42899.0,0.03602769888630054,55621.0,0.027651426619442296,0.06117581029886348,0.0015102209597094623,0.092277936444814,0.24590667582318285,0.7838941699497597
tualatin,0.37513963643749365,3350.0,207.0,48439.0,0.010497981157469718,27788.0,0.029869008204980566,0.08099115664127485,0.0016913775730531164,0.09643540253868893,0.3139546876611545,0.738577371334273
west linn,0.6165228113440198,2179.0,411.0,60421.0,0.07544682097861119,26962.0,0.009346487649284177,0.03691739732348869,0.001149766337808768,0.057788284738639346,0.2181695373184735,0.8466734211415062
woodburn,0.17609015816097842,3922.0,1349.0,27165.0,0.10285032294299354,381.0,0.02099737532808399,0.06470657692761837,0.001518718201837649,0.13907157417022423,0.446200840015273,0.5300878197785415
allen,0.1467654253873335,30585.0,7325.0,25369.0,0.0837491571139582,930.0,0.011827956989247311,0.10964502315066409,0.0032258064516129032,0.22283587152213052,0.5271972144145656,0.4295003565884969
bethlehem,0.3131366764995084,16412.0,3825.0,30313.0,0.054788632686084145,2569.0,0.00973141300116777,0.0744835888987454,0.0023355391202802647,0.12514739518958928,0.3829866567235731,0.6919061442991451
carlisle,0.33390638430882236,4498.0,862.0,27306.0,0.02354879348774106,2184.0,0.025183150183150184,0.047902176351806144,0.004120879120879121,0.20458246103745056,0.3854091425033536,0.6948199360231142
chambersburg,0.23716047918396393,7181.0,1033.0,30843.0,0.01506827813530058,21131.0,0.026217405707254744,0.0155416159535624,0.001656334295584686,0.04832886922091534,0.4176246669204416,0.6815378759040731
chester,0.13172909947903746,10843.0,1629.0,26303.0,0.09988947222989776,8224.0,0.0038910505836575876,0.167762909200877,0.001510859301227573,0.2886381272633213,0.5393623543838136,0.5060392397302269
easton,0.1972856126525475,7541.0,1693.0,25445.0,0.06084374048126713,7519.0,0.005585849182072084,0.09748187714612744,0.0026599281819390877,0.13825272093120983,0.4129472800793469,0.6625085831998169
monroeville,0.43267733257822455,4849.0,628.0,44451.0,0.0808138701819745,1356.0,0.015486725663716814,0.11003875674443346,0.00571527537235885,0.06726237605097463,0.3634344651057743,0.7896935933147632
new castle,0.1477610953105364,7464.0,1262.0,25876.0,0.1182975172126017,5095.0,0.01000981354268891,0.17849481587415086,0.001962708537782139,0.20764654247537306,0.6736637512147716,0.38522837706511176
norristown,0.25801487560913056,9854.0,1532.0,30221.0,0.056942481812948136,34430.0,0.02073772872494917,0.0743736437167094,0.002352599477200116,0.17570569592132934,0.4340414294935743,0.5376738454316061
pottstown,0.23970722781335774,6567.0,1877.0,30898.0,0.06860936923644412,22705.0,0.03844968068707333,0.1325187969924812,0.002510460251046025,0.20260607023677102,0.410734149054505,0.6295884315906563
scranton,0.24332670668390882,21639.0,3976.0,25902.0,0.05830502992075044,77323.0,0.03300441007203549,0.15589343233062183,0.00145985401459854,0.23477100309075583,0.4895777154568008,0.5893242368676518
wilkes-barre,0.1617476092255766,10748.0,2053.0,27975.0,0.07107137445067434,40722.0,0.026914198713226267,0.16892731157152086,0.0019645400520603112,0.18993450534298517,0.5118820337620579,0.5583551045016077
york,0.13912519495250247,11268.0,4315.0,25492.0,0.08915537017726799,13231.0,0.007482427632076185,0.09398143319077917,0.0017897091722595079,0.27563329312424606,0.5553142360714204,0.45044694908666927
central falls,0.08432532063589586,3967.0,1323.0,23894.0,0.09797363761558135,19423.0,0.019204036451629512,0.1597051597051597,0.0021623848015239664,0.16970956191149816,0.5886067622681226,0.3841161250712625
cranston,0.35539671437588494,14870.0,3197.0,45516.0,0.021280778493143953,81471.0,0.015342882743552921,0.039696960364633056,0.0022093751150716206,0.09987172909184197,0.3559322033898305,0.7753284374761772
east providence,0.3023105683621594,10091.0,2759.0,42267.0,0.021501925545571246,47590.0,0.011830216432023534,0.09841485507246377,0.0021643202353435597,0.10059411000617534,0.38934669951575906,0.7726403873927449
newport,0.5276340545625587,3778.0,1014.0,30649.0,0.05169269800998969,7485.0,0.06172344689378757,0.24552144503084813,0.0033400133600534404,0.11862657723157746,0.36468616973100265,0.6740331491712708
pawtucket,0.2317269956371895,17770.0,3792.0,32408.0,0.04893291176761189,72030.0,0.027016520894071916,0.09171588188347965,0.0023740108288213243,0.14917451183060032,0.40463849109325883,0.6224519734544185
providence,0.3318039716436969,33494.0,6266.0,30634.0,0.06886646611515,3021.0,0.004634227077126779,0.18320761423324514,0.002926091164984813,0.22607145247759122,0.4184651802855347,0.6021032840452823
warwick,0.3330605698574538,17923.0,2936.0,42770.0,0.01993076906538238,80749.0,0.016309799502161017,0.05670647493703794,0.002563499238380661,0.058014488063528415,0.33899588027994243,0.780897900431826
woonsocket,0.1727350539899921,11322.0,3296.0,36278.0,0.06077519379844961,41709.0,0.026780790716631902,0.10602258469259725,0.002709247404636889,0.1885492265962906,0.44726208048007354,0.6933239770610012
aiken,0.4280316191799861,5171.0,1442.0,35666.0,0.027216525934861277,30922.0,0.05442726861134468,0.07302187023178086,0.004656878597762111,0.11526437406551583,0.4794356049234464,0.7093298642383001
bluffton,0.4081000595592615,3699.0,171.0,35108.0,0.009443339960238568,24812.0,0.010841528292761566,0.10388103775574774,0.0033550424314189855,0.069206501337806,0.280417837217584,0.8215882562418391
easley,0.24384141647421093,4705.0,1437.0,31268.0,0.05014016820184221,21390.0,0.056054230949041606,0.12183255625380093,0.002898550724637681,0.12313314984433515,0.347173745523775,0.68342323557409
fort mill,0.5532766734564866,1731.0,423.0,61252.0,0.016732099457842587,21219.0,0.012017531457655875,0.022294999370197757,0.003016164757999906,0.032005819239861795,0.16339334424440807,0.8853427895981087
greer,0.32412008706723067,5832.0,2267.0,37475.0,0.015028045295798497,32976.0,0.03538937409024745,0.10984249260609395,0.0024866569626394953,0.07074681848626925,0.2942900200937709,0.6808718463942844
hanahan,0.2915492957746479,4903.0,644.0,36397.0,0.029131772958270703,26941.0,0.01495861326602576,0.0666740502824233,0.0011135444118629597,0.04158260479713069,0.2562835088786646,0.7690026236739039
mauldin,0.33957859451694,4117.0,292.0,40632.0,0.04867974627526184,25453.0,0.018504694927906337,0.05156723963599596,0.0022394216791733782,0.06623097154698335,0.352451251282861,0.723612536512197
myrtle beach,0.314797544105075,7227.0,1483.0,27860.0,0.031009481316229784,34860.0,0.12441193344807802,0.431907212535525,0.008835341365461847,0.11944825172785863,0.42560194006582364,0.587187481956233
north augusta,0.3380115424973767,3308.0,255.0,41157.0,0.051854729073606526,23875.0,0.02961256544502618,0.21309217774513403,0.0037277486910994766,0.06649097912021082,0.3426605272478875,0.7571218944492233
north charleston,0.2560253492867455,22685.0,9244.0,34255.0,0.02696449940167531,115312.0,0.06997537116692105,0.10917212401105349,0.003581587345636187,0.1508100684907694,0.25802238483228673,0.6308838029996368
north myrtle beach,0.35159958720330237,5398.0,1081.0,30714.0,0.13637560333479595,16942.0,0.07006256640302208,0.6277281994719075,0.009089835910754338,0.08393355260418835,0.4460473407121834,0.6506653401318244
rock hill,0.31108082650259533,11251.0,1941.0,30791.0,0.030492535558951452,4620.0,0.014935064935064935,0.050664866292893414,0.0025974025974025974,0.12594964786779791,0.30446739101129655,0.6841956269715025
simpsonville,0.2808235294117647,4926.0,957.0,40020.0,0.0183526327288617,2945.0,0.029202037351443125,0.09161599042966803,0.0030560271646859084,0.03881515996172567,0.2648417023755044,0.8516037775096725
spartanburg,0.30216582804637937,6634.0,3045.0,27400.0,0.09115028595012087,37754.0,0.07697197647931345,0.14039439414609947,0.003787678126820999,0.22660210120918642,0.48558614540837003,0.5666927836165672
sumter,0.27853590610702206,6399.0,2149.0,27362.0,0.08043853899779539,39546.0,0.05611186972133718,0.11741073954620042,0.00389419916047135,0.13901005615776413,0.4333477602250595,0.6313027483228738
aberdeen,0.30933673469387757,6922.0,923.0,31859.0,0.037666869772337006,1946.0,0.013360739979445015,0.08426446516262187,0.0025693730729701952,0.08730964467005076,0.27510477787091364,0.7249287510477788
brookings,0.5288927748191717,2087.0,688.0,25264.0,0.049673629242819844,24823.0,0.01490553116061717,0.11963399201791103,0.0032407407407407406,0.15446969351974132,0.19400054968785582,0.7921002002434332
sioux falls,0.3667705380094724,28438.0,4543.0,38211.0,0.02089506876377175,185628.0,0.03544185144482513,0.04640649963464325,0.0015622643135733832,0.08600554402892341,0.25781716129317395,0.7707997259850176
chattanooga,0.3210654161207022,32256.0,10897.0,30713.0,0.06245323842840677,441.0,0.0022675736961451248,0.1119680346440171,0.0045351473922902496,0.1666410243260338,0.35612676840815416,0.6261445917344325
cookeville,0.33700462683564675,4630.0,1970.0,25459.0,0.08213457076566125,34373.0,0.03400925144735694,0.10877447425670776,0.00270561196287784,0.2594475831763967,0.3185341171653359,0.7081980638179638
east ridge,0.23891437308868502,4374.0,1490.0,27235.0,0.04152089854538759,21027.0,0.03828411090502687,0.08371491140752538,0.002330337185523375,0.16392032593933906,0.397012222725215,0.5927116342236306
