"Label (Grouping)","Median earnings in the past 12 months (in 2019 Inflation-adjusted dollars) --!!Total (dollars):"
"    Estimate","41,778"
"San Dimas city, California",""
"    Estimate","46,070"
"San Fernando city, California",""
"    Estimate","38,756"
"San Francisco city, California",""
"    Estimate","67,926"
"San Gabriel city, California",""
"    Estimate","40,273"
"Sanger city, California",""
"    Estimate","31,281"
"San Jacinto city, California",""
"    Estimate","31,635"
"San Jose city, California",""
"    Estimate","51,580"
"San Juan Capistrano city, California",""
"    Estimate","35,682"
"San Leandro city, California",""
"    Estimate","47,072"
"San Lorenzo CDP, California",""
"    Estimate","37,161"
"San Luis Obispo city, California",""
"    Estimate","25,882"
"San Marcos city, California",""
"    Estimate","39,706"
"San Mateo city, California",""
"    Estimate","70,304"
"San Pablo city, California",""
"    Estimate","36,056"
"San Rafael city, California",""
"    Estimate","40,993"
"San Ramon city, California",""
"    Estimate","86,334"
"Santa Ana city, California",""
"    Estimate","28,877"
"Santa Barbara city, California",""
"    Estimate","40,224"
"Santa Clara city, California",""
"    Estimate","65,287"
"Santa Clarita city, California",""
"    Estimate","48,422"
"Santa Cruz city, California",""
"    Estimate","28,162"
"Santa Maria city, California",""
"    Estimate","28,495"
"Santa Monica city, California",""
"    Estimate","67,463"
"Santa Paula city, California",""
"    Estimate","30,877"
"Santa Rosa city, California",""
"    Estimate","38,984"
"Santee city, California",""
"    Estimate","37,104"
"Saratoga city, California",""
"    Estimate","102,192"
"Seal Beach city, California",""
"    Estimate","65,447"
"Seaside city, California",""
"    Estimate","30,846"
"Selma city, California",""
"    Estimate","26,989"
"Simi Valley city, California",""
"    Estimate","48,010"
"Soledad city, California",""
"    Estimate","22,642"
"South Gate city, California",""
"    Estimate","27,289"
"South Lake Tahoe city, California",""
"    Estimate","26,895"
"South Pasadena city, California",""
"    Estimate","71,222"
"South San Francisco city, California",""
"    Estimate","51,199"
"South Whittier CDP, California",""
"    Estimate","37,197"
"Spring Valley CDP (San Diego County), California",""
"    Estimate","33,096"
"Stanton city, California",""
"    Estimate","35,135"
"Stockton city, California",""
"    Estimate","31,982"
"Suisun City city, California",""
"    Estimate","46,675"
"Sunnyvale city, California",""
"    Estimate","79,939"
"Temecula city, California",""
"    Estimate","45,977"
"Temescal Valley CDP, California",""
"    Estimate","51,224"
"Temple City city, California",""
"    Estimate","41,732"
"Thousand Oaks city, California",""
"    Estimate","50,373"
"Torrance city, California",""
"    Estimate","56,961"
"Tracy city, California",""
"    Estimate","40,761"
"Tulare city, California",""
"    Estimate","33,285"
"Turlock city, California",""
"    Estimate","33,720"
"Tustin city, California",""
"    Estimate","42,151"
"Twentynine Palms city, California",""
"    Estimate","30,227"
"Union City city, California",""
"    Estimate","60,008"
"Upland city, California",""
"    Estimate","37,156"
"Vacaville city, California",""
"    Estimate","50,026"
"Valinda CDP, California",""
"    Estimate","31,633"
"Vallejo city, California",""
"    Estimate","40,072"
"Victorville city, California",""
"    Estimate","28,161"
"Vineyard CDP, California",""
"    Estimate","41,016"
"Visalia city, California",""
"    Estimate","31,743"
"Vista city, California",""
"    Estimate","35,318"
"Walnut city, California",""
"    Estimate","42,336"
"Walnut Creek city, California",""
"    Estimate","71,093"
"Wasco city, California",""
"    Estimate","25,349"
"Watsonville city, California",""
"    Estimate","31,588"
"West Carson CDP, California",""
"    Estimate","36,250"
"West Covina city, California",""
"    Estimate","35,999"
"West Hollywood city, California",""
"    Estimate","54,679"
"Westminster city, California",""
"    Estimate","31,990"
"Westmont CDP, California",""
"    Estimate","27,678"
"West Puente Valley CDP, California",""
"    Estimate","30,668"
"West Rancho Dominguez CDP, California",""
"    Estimate","31,066"
"West Sacramento city, California",""
"    Estimate","41,268"
"West Whittier-Los Nietos CDP, California",""
"    Estimate","35,806"
"Whittier city, California",""
"    Estimate","40,187"
"Wildomar city, California",""
"    Estimate","30,771"
"Willowbrook CDP, California",""
"    Estimate","21,370"
"Windsor town, California",""
"    Estimate","47,446"
"Woodland city, California",""
"    Estimate","41,510"
"Yorba Linda city, California",""
"    Estimate","51,486"
"Yuba City city, California",""
"    Estimate","30,257"
"Yucaipa city, California",""
"    Estimate","39,745"
"Yucca Valley town, California",""
"    Estimate","23,082"
"Arvada city, Colorado",""
"    Estimate","47,774"
"Aurora city, Colorado",""
"    Estimate","37,286"
"Boulder city, Colorado",""
"    Estimate","30,537"
"Brighton city, Colorado",""
"    Estimate","41,589"
"Broomfield city, Colorado",""
"    Estimate","53,042"
"Castle Rock town, Colorado",""
"    Estimate","45,834"
"Centennial city, Colorado",""
"    Estimate","53,321"
"Clifton CDP, Colorado",""
"    Estimate","29,020"
"Colorado Springs city, Colorado",""
"    Estimate","36,114"
"Columbine CDP, Colorado",""
"    Estimate","52,493"
"Commerce City city, Colorado",""
"    Estimate","39,789"
"Dakota Ridge CDP, Colorado",""
"    Estimate","54,994"
"Denver city, Colorado",""
"    Estimate","47,146"
"Englewood city, Colorado",""
"    Estimate","40,874"
"Erie town, Colorado",""
"    Estimate","50,546"
"Evans city, Colorado",""
"    Estimate","36,988"
"Fort Collins city, Colorado",""
"    Estimate","32,034"
"Fountain city, Colorado",""
"    Estimate","41,347"
"Golden city, Colorado",""
"    Estimate","33,860"
"Grand Junction city, Colorado",""
"    Estimate","28,836"
"Greeley city, Colorado",""
