"Label (Grouping)","Total:","Total:!!Under .50","Total:!!.50 to .99"
"La Mesa city, California","","",""
"    Estimate","58,577","1,725","3,617"
"La Mirada city, California","","",""
"    Estimate","45,258","641","1,692"
"Lancaster city, California","","",""
"    Estimate","150,033","11,173","13,549"
"La Presa CDP, California","","",""
"    Estimate","36,894","1,801","1,141"
"La Puente city, California","","",""
"    Estimate","39,281","1,524","2,257"
"La Quinta city, California","","",""
"    Estimate","41,640","2,201","1,850"
"Lathrop city, California","","",""
"    Estimate","24,476","1,779","728"
"La Verne city, California","","",""
"    Estimate","31,459","2,769","2,040"
"Lawndale city, California","","",""
"    Estimate","32,325","998","2,620"
"Lemon Grove city, California","","",""
"    Estimate","26,594","1,676","1,488"
"Lemoore city, California","","",""
"    Estimate","26,733","1,513","351"
"Lennox CDP, California","","",""
"    Estimate","24,001","924","1,596"
"Lincoln city, California","","",""
"    Estimate","48,048","516","4,030"
"Linda CDP, California","","",""
"    Estimate","23,148","3,034","1,762"
"Livermore city, California","","",""
"    Estimate","89,770","1,980","2,003"
"Lodi city, California","","",""
"    Estimate","67,030","2,517","6,913"
"Loma Linda city, California","","",""
"    Estimate","23,492","1,894","631"
"Lomita city, California","","",""
"    Estimate","23,786","2,026","910"
"Lompoc city, California","","",""
"    Estimate","39,585","1,225","2,572"
"Long Beach city, California","","",""
"    Estimate","454,159","29,577","37,116"
"Los Altos city, California","","",""
"    Estimate","29,894","351","112"
"Los Angeles city, California","","",""
"    Estimate","3,902,307","286,647","364,558"
"Los Banos city, California","","",""
"    Estimate","40,972","1,240","1,801"
"Los Gatos town, California","","",""
"    Estimate","29,916","948","263"
"Lynwood city, California","","",""
"    Estimate","66,673","2,255","7,327"
"Madera city, California","","",""
"    Estimate","65,560","3,579","10,763"
"Manhattan Beach city, California","","",""
"    Estimate","35,069","374","335"
"Manteca city, California","","",""
"    Estimate","82,784","5,612","3,624"
"Marina city, California","","",""
"    Estimate","20,133","1,211","957"
"Martinez city, California","","",""
"    Estimate","37,739","1,064","730"
"Maywood city, California","","",""
"    Estimate","26,724","2,007","2,525"
"Mead Valley CDP, California","","",""
"    Estimate","","",""
"Menifee city, California","","",""
"    Estimate","94,045","3,687","5,052"
"Menlo Park city, California","","",""
"    Estimate","34,452","816","1,139"
"Merced city, California","","",""
"    Estimate","82,487","8,711","11,327"
"Millbrae city, California","","",""
"    Estimate","23,117","774","1,550"
"Milpitas city, California","","",""
"    Estimate","81,540","814","1,175"
"Mission Viejo city, California","","",""
"    Estimate","93,924","2,429","1,564"
"Modesto city, California","","",""
"    Estimate","213,256","12,231","13,770"
"Monrovia city, California","","",""
"    Estimate","36,256","804","3,045"
"Montclair city, California","","",""
"    Estimate","39,875","2,941","2,745"
"Montebello city, California","","",""
"    Estimate","61,550","5,240","4,569"
"Monterey city, California","","",""
"    Estimate","25,872","575","1,596"
"Monterey Park city, California","","",""
"    Estimate","59,387","3,381","4,230"
"Moorpark city, California","","",""
"    Estimate","36,371","1,022","1,236"
"Moreno Valley city, California","","",""
"    Estimate","210,946","11,785","13,453"
"Morgan Hill city, California","","",""
"    Estimate","45,685","588","769"
"Mountain View city, California","","",""
"    Estimate","82,073","1,810","1,853"
"Murrieta city, California","","",""
"    Estimate","115,140","4,677","2,608"
"Napa city, California","","",""
"    Estimate","77,295","1,620","3,102"
"National City city, California","","",""
"    Estimate","53,703","2,250","4,571"
"Newark city, California","","",""
"    Estimate","49,060","1,841","405"
"Newport Beach city, California","","",""
"    Estimate","84,160","3,112","2,269"
"Norco city, California","","",""
"    Estimate","23,353","557","289"
"North Highlands CDP, California","","",""
"    Estimate","45,087","2,331","6,088"
"North Tustin CDP, California","","",""
"    Estimate","24,475","243","354"
"Norwalk city, California","","",""
"    Estimate","103,043","3,191","4,052"
"Novato city, California","","",""
"    Estimate","55,264","1,447","1,358"
"Oakdale city, California","","",""
"    Estimate","25,652","593","787"
"Oakland city, California","","",""
"    Estimate","427,719","26,039","33,387"
"Oakley city, California","","",""
"    Estimate","42,378","1,551","2,525"
"Oceanside city, California","","",""
"    Estimate","175,221","4,513","8,847"
