"Label (Grouping)","Total:","Total:!!9th to 12th grade, no diploma","Total:!!High school graduate (includes equivalency)","Total:!!Bachelor's degree","Total:!!Graduate or professional degree"
"La Mirada city, California","","","","",""
"    Estimate","32,452","1,518","7,220","7,554","3,666"
"Lancaster city, California","","","","",""
"    Estimate","98,924","10,060","29,330","11,943","6,296"
"La Presa CDP, California","","","","",""
"    Estimate","25,259","2,144","7,551","4,300","1,098"
"La Puente city, California","","","","",""
"    Estimate","26,530","3,084","9,086","1,682","473"
"La Quinta city, California","","","","",""
"    Estimate","33,090","2,185","5,899","9,381","4,422"
"Lathrop city, California","","","","",""
"    Estimate","15,202","1,339","5,037","1,990","756"
"La Verne city, California","","","","",""
"    Estimate","23,845","1,283","4,560","4,683","3,123"
"Lawndale city, California","","","","",""
"    Estimate","21,683","3,313","6,081","3,249","1,110"
"Lemon Grove city, California","","","","",""
"    Estimate","19,750","1,502","4,648","2,545","1,673"
"Lemoore city, California","","","","",""
"    Estimate","17,618","781","4,179","4,409","974"
"Lennox CDP, California","","","","",""
"    Estimate","14,530","2,594","2,496","2,188","130"
"Lincoln city, California","","","","",""
"    Estimate","34,350","654","7,214","6,724","5,086"
"Linda CDP, California","","","","",""
"    Estimate","14,211","2,337","2,811","843","918"
"Livermore city, California","","","","",""
"    Estimate","62,929","1,098","10,194","18,711","10,895"
"Lodi city, California","","","","",""
"    Estimate","43,274","2,623","12,355","5,321","2,600"
"Loma Linda city, California","","","","",""
"    Estimate","19,869","1,325","2,545","5,021","4,298"
"Lomita city, California","","","","",""
"    Estimate","17,234","1,382","4,907","5,025","1,563"
"Lompoc city, California","","","","",""
"    Estimate","27,133","3,916","6,711","2,537","477"
"Long Beach city, California","","","","",""
"    Estimate","317,851","26,465","59,280","70,284","34,329"
"Los Altos city, California","","","","",""
"    Estimate","20,940","118","473","6,493","11,429"
"Los Angeles city, California","","","","",""
"    Estimate","2,777,962","231,555","528,710","661,928","334,223"
"Los Banos city, California","","","","",""
"    Estimate","23,309","2,926","6,406","2,889","587"
"Los Gatos town, California","","","","",""
"    Estimate","21,598","29","1,174","8,836","6,949"
"Lynwood city, California","","","","",""
"    Estimate","42,281","8,678","12,083","3,078","388"
"Madera city, California","","","","",""
"    Estimate","35,274","4,384","6,802","1,601","1,037"
"Manhattan Beach city, California","","","","",""
"    Estimate","24,744","55","1,271","10,829","8,717"
"Manteca city, California","","","","",""
"    Estimate","55,182","3,399","16,346","8,028","3,392"
"Marina city, California","","","","",""
"    Estimate","12,632","487","3,014","2,861","1,486"
"Martinez city, California","","","","",""
"    Estimate","28,333","1,100","4,172","7,734","4,611"
"Maywood city, California","","","","",""
"    Estimate","15,899","3,279","3,960","996","258"
"Mead Valley CDP, California","","","","",""
"    Estimate","12,551","1,587","3,872","929","44"
"Menifee city, California","","","","",""
"    Estimate","62,182","2,952","18,947","8,463","4,563"
"Menlo Park city, California","","","","",""
"    Estimate","23,916","328","2,045","7,333","10,912"
"Merced city, California","","","","",""
"    Estimate","48,448","6,088","12,383","4,502","2,567"
"Millbrae city, California","","","","",""
"    Estimate","16,866","450","3,291","4,636","3,827"
"Milpitas city, California","","","","",""
"    Estimate","64,249","3,983","8,690","22,055","13,485"
"Mission Viejo city, California","","","","",""
"    Estimate","70,524","2,289","9,393","22,185","12,903"
"Modesto city, California","","","","",""
"    Estimate","142,499","11,233","45,444","18,076","7,299"
"Monrovia city, California","","","","",""
"    Estimate","27,602","1,853","5,331","7,168","3,815"
"Montclair city, California","","","","",""
"    Estimate","26,411","3,474","6,488","3,387","1,728"
"Montebello city, California","","","","",""
"    Estimate","44,133","5,077","10,619","6,443","2,289"
"Monterey city, California","","","","",""
"    Estimate","22,210","253","2,794","7,513","4,932"
"Monterey Park city, California","","","","",""
"    Estimate","45,508","3,373","10,939","10,953","4,444"
"Moorpark city, California","","","","",""
"    Estimate","25,472","814","3,865","6,835","3,757"
"Moreno Valley city, California","","","","",""
"    Estimate","127,582","16,563","36,660","12,437","5,864"
"Morgan Hill city, California","","","","",""
"    Estimate","31,741","682","6,299","8,055","4,222"
"Mountain View city, California","","","","",""
"    Estimate","62,026","2,176","5,202","19,949","24,652"
"Murrieta city, California","","","","",""
"    Estimate","74,352","4,349","16,615","14,621","7,551"
"Napa city, California","","","","",""
"    Estimate","56,644","3,439","11,051","12,474","7,548"
"National City city, California","","","","",""
"    Estimate","40,156","4,540","12,373","3,510","1,936"
"Newark city, California","","","","",""
"    Estimate","34,208","2,003","7,594","10,072","5,241"
"Newport Beach city, California","","","","",""
"    Estimate","63,200","1,446","4,709","22,744","17,620"
"Norco city, California","","","","",""
"    Estimate","19,797","1,799","5,782","2,602","1,901"
"North Highlands CDP, California","","","","",""
