"Label (Grouping)","Total:","Total:!!Occupied","Total:!!Vacant"
"    Estimate","12,736","12,524","212"
"Palmdale city, California","","",""
"    Estimate","43,382","41,538","1,844"
"Palm Desert city, California","","",""
"    Estimate","40,153","26,404","13,749"
"Palm Springs city, California","","",""
"    Estimate","41,934","25,276","16,658"
"Palo Alto city, California","","",""
"    Estimate","28,541","25,168","3,373"
"Paramount city, California","","",""
"    Estimate","14,988","14,348","640"
"Pasadena city, California","","",""
"    Estimate","62,830","56,668","6,162"
"Patterson city, California","","",""
"    Estimate","7,711","7,075","636"
"Perris city, California","","",""
"    Estimate","18,906","17,582","1,324"
"Petaluma city, California","","",""
"    Estimate","24,772","24,177","595"
"Pico Rivera city, California","","",""
"    Estimate","17,954","17,385","569"
"Pinole city, California","","",""
"    Estimate","7,602","7,602","0"
"Pittsburg city, California","","",""
"    Estimate","21,953","21,273","680"
"Placentia city, California","","",""
"    Estimate","16,565","16,311","254"
"Pleasant Hill city, California","","",""
"    Estimate","14,474","13,647","827"
"Pleasanton city, California","","",""
"    Estimate","30,391","28,994","1,397"
"Pomona city, California","","",""
"    Estimate","43,096","40,579","2,517"
"Porterville city, California","","",""
"    Estimate","20,899","20,347","552"
"Port Hueneme city, California","","",""
"    Estimate","8,376","7,298","1,078"
"Poway city, California","","",""
"    Estimate","16,754","16,357","397"
"Ramona CDP, California","","",""
"    Estimate","7,489","6,964","525"
"Rancho Cordova city, California","","",""
"    Estimate","25,977","24,907","1,070"
"Rancho Cucamonga city, California","","",""
"    Estimate","61,742","59,497","2,245"
"Rancho Palos Verdes city, California","","",""
"    Estimate","15,952","14,840","1,112"
"Rancho San Diego CDP, California","","",""
"    Estimate","8,917","7,994","923"
"Rancho Santa Margarita city, California","","",""
"    Estimate","16,558","16,183","375"
"Red Bluff city, California","","",""
"    Estimate","7,757","7,448","309"
"Redding city, California","","",""
"    Estimate","40,532","37,757","2,775"
"Redlands city, California","","",""
"    Estimate","28,283","26,115","2,168"
"Redondo Beach city, California","","",""
"    Estimate","28,137","26,360","1,777"
"Redwood City city, California","","",""
"    Estimate","33,563","32,199","1,364"
"Reedley city, California","","",""
"    Estimate","7,138","7,138","0"
"Rialto city, California","","",""
"    Estimate","25,631","24,751","880"
"Richmond city, California","","",""
"    Estimate","39,563","36,634","2,929"
"Ridgecrest city, California","","",""
"    Estimate","13,319","11,228","2,091"
"Rio Linda CDP, California","","",""
"    Estimate","6,007","5,745","262"
"Riverbank city, California","","",""
"    Estimate","6,756","6,540","216"
"Riverside city, California","","",""
"    Estimate","91,011","87,189","3,822"
"Rocklin city, California","","",""
"    Estimate","24,416","23,612","804"
"Rohnert Park city, California","","",""
"    Estimate","18,773","17,906","867"
"Rosamond CDP, California","","",""
"    Estimate","9,116","7,902","1,214"
"Rosemead city, California","","",""
"    Estimate","14,954","14,269","685"
"Rosemont CDP, California","","",""
"    Estimate","7,983","7,686","297"
"Roseville city, California","","",""
"    Estimate","56,494","53,093","3,401"
"Rowland Heights CDP, California","","",""
"    Estimate","15,909","14,769","1,140"
"Sacramento city, California","","",""
"    Estimate","200,079","191,911","8,168"
"Salinas city, California","","",""
"    Estimate","41,388","39,862","1,526"
"San Bernardino city, California","","",""
"    Estimate","63,523","60,308","3,215"
"San Bruno city, California","","",""
"    Estimate","16,075","14,965","1,110"
"San Buenaventura (Ventura) city, California","","",""
"    Estimate","44,793","40,513","4,280"
"San Carlos city, California","","",""
"    Estimate","11,883","11,439","444"
"San Clemente city, California","","",""
"    Estimate","26,423","23,182","3,241"
"San Diego city, California","","",""
"    Estimate","556,735","512,530","44,205"
"San Dimas city, California","","",""
"    Estimate","13,077","12,665","412"
"San Fernando city, California","","",""
"    Estimate","7,291","6,689","602"
"San Francisco city, California","","",""
"    Estimate","406,399","365,851","40,548"
"San Gabriel city, California","","",""
"    Estimate","13,306","12,570","736"
"Sanger city, California","","",""
"    Estimate","7,853","7,402","451"
"San Jacinto city, California","","",""
"    Estimate","17,370","14,784","2,586"
"San Jose city, California","","",""
"    Estimate","343,234","327,894","15,340"
"San Juan Capistrano city, California","","",""
"    Estimate","13,563","12,114","1,449"
"San Leandro city, California","","",""
"    Estimate","33,469","31,691","1,778"
"San Lorenzo CDP, California","","",""
"    Estimate","7,728","7,096","632"
"San Luis Obispo city, California","","",""
"    Estimate","21,176","19,457","1,719"
"San Marcos city, California","","",""
"    Estimate","33,095","30,852","2,243"
"San Mateo city, California","","",""
"    Estimate","41,973","39,564","2,409"
"San Pablo city, California","","",""
"    Estimate","10,166","9,214","952"
"San Rafael city, California","","",""
"    Estimate","25,262","24,133","1,129"
"San Ramon city, California","","",""
"    Estimate","26,697","25,697","1,000"
"Santa Ana city, California","","",""
"    Estimate","82,990","79,704","3,286"
"Santa Barbara city, California","","",""
"    Estimate","41,215","38,674","2,541"
"Santa Clara city, California","","",""
"    Estimate","50,936","46,608","4,328"
"Santa Clarita city, California","","",""
"    Estimate","72,966","69,975","2,991"
"Santa Cruz city, California","","",""
"    Estimate","24,029","22,166","1,863"
"Santa Maria city, California","","",""
"    Estimate","29,084","27,079","2,005"
"Santa Monica city, California","","",""
"    Estimate","50,563","45,096","5,467"
"Santa Paula city, California","","",""
"    Estimate","8,487","7,755","732"
"Santa Rosa city, California","","",""
"    Estimate","69,406","65,590","3,816"
"Santee city, California","","",""
"    Estimate","20,342","19,190","1,152"
"Saratoga city, California","","",""
"    Estimate","11,310","10,519","791"
"Seal Beach city, California","","",""
"    Estimate","15,547","13,957","1,590"
"Seaside city, California","","",""
"    Estimate","12,222","10,883","1,339"
"Selma city, California","","",""
"    Estimate","8,086","7,848","238"
