"Label (Grouping)","Total:","Total:!!With public coverage","Total:!!No public coverage"
"Inglewood city, California","","",""
"    Estimate","107,802","48,935","58,867"
"Irvine city, California","","",""
"    Estimate","287,130","56,114","231,016"
"Isla Vista CDP, California","","",""
"    Estimate","28,864","4,676","24,188"
"Jurupa Valley city, California","","",""
"    Estimate","108,894","48,030","60,864"
"La Cañada Flintridge city, California","","",""
"    Estimate","20,756","3,759","16,997"
"La Crescenta-Montrose CDP, California","","",""
"    Estimate","22,513","7,477","15,036"
"Ladera Ranch CDP, California","","",""
"    Estimate","21,761","2,110","19,651"
"Lafayette city, California","","",""
"    Estimate","26,584","6,842","19,742"
"Laguna Beach city, California","","",""
"    Estimate","22,554","6,466","16,088"
"Laguna Hills city, California","","",""
"    Estimate","30,989","10,313","20,676"
"Laguna Niguel city, California","","",""
"    Estimate","66,285","19,273","47,012"
"La Habra city, California","","",""
"    Estimate","60,348","20,686","39,662"
"Lake Elsinore city, California","","",""
"    Estimate","68,797","24,724","44,073"
"Lake Forest city, California","","",""
"    Estimate","85,353","19,556","65,797"
"Lakeside CDP, California","","",""
"    Estimate","19,384","6,616","12,768"
"Lakewood city, California","","",""
"    Estimate","78,883","22,199","56,684"
"La Mesa city, California","","",""
"    Estimate","57,938","20,906","37,032"
"La Mirada city, California","","",""
"    Estimate","47,869","17,140","30,729"
"Lancaster city, California","","",""
"    Estimate","151,849","56,604","95,245"
"La Presa CDP, California","","",""
"    Estimate","36,842","15,409","21,433"
"La Puente city, California","","",""
"    Estimate","39,443","16,450","22,993"
"La Quinta city, California","","",""
"    Estimate","41,753","22,501","19,252"
"Lathrop city, California","","",""
"    Estimate","24,356","7,361","16,995"
"La Verne city, California","","",""
"    Estimate","31,788","11,928","19,860"
"Lawndale city, California","","",""
"    Estimate","32,374","13,447","18,927"
"Lemon Grove city, California","","",""
"    Estimate","26,137","11,299","14,838"
"Lemoore city, California","","",""
"    Estimate","25,213","10,954","14,259"
"Lennox CDP, California","","",""
"    Estimate","24,001","10,702","13,299"
"Lincoln city, California","","",""
"    Estimate","47,938","19,761","28,177"
"Linda CDP, California","","",""
"    Estimate","23,325","12,213","11,112"
"Livermore city, California","","",""
"    Estimate","89,850","22,619","67,231"
"Lodi city, California","","",""
"    Estimate","67,035","26,524","40,511"
"Loma Linda city, California","","",""
"    Estimate","24,274","11,060","13,214"
"Lomita city, California","","",""
"    Estimate","23,878","9,433","14,445"
"Lompoc city, California","","",""
"    Estimate","39,387","19,981","19,406"
"Long Beach city, California","","",""
"    Estimate","459,608","176,553","283,055"
"Los Altos city, California","","",""
"    Estimate","29,860","5,846","24,014"
"Los Angeles city, California","","",""
"    Estimate","3,949,197","1,613,276","2,335,921"
"Los Banos city, California","","",""
"    Estimate","40,972","20,060","20,912"
"Los Gatos town, California","","",""
"    Estimate","29,916","6,537","23,379"
"Lynwood city, California","","",""
"    Estimate","66,909","30,796","36,113"
"Madera city, California","","",""
"    Estimate","65,616","35,290","30,326"
"Manhattan Beach city, California","","",""
"    Estimate","35,179","7,964","27,215"
"Manteca city, California","","",""
"    Estimate","82,784","29,465","53,319"
"Marina city, California","","",""
"    Estimate","20,738","7,939","12,799"
"Martinez city, California","","",""
"    Estimate","37,819","9,741","28,078"
"Maywood city, California","","",""
"    Estimate","26,832","15,705","11,127"
"Mead Valley CDP, California","","",""
"    Estimate","19,068","11,148","7,920"
"Menifee city, California","","",""
"    Estimate","93,997","36,526","57,471"
"Menlo Park city, California","","",""
"    Estimate","34,452","5,620","28,832"
"Merced city, California","","",""
"    Estimate","82,806","39,855","42,951"
"Millbrae city, California","","",""
"    Estimate","23,117","6,446","16,671"
"Milpitas city, California","","",""
"    Estimate","81,540","18,157","63,383"
"Mission Viejo city, California","","",""
"    Estimate","93,852","28,794","65,058"
"Modesto city, California","","",""
"    Estimate","213,941","102,423","111,518"
"Monrovia city, California","","",""
"    Estimate","36,256","12,634","23,622"
"Montclair city, California","","",""
"    Estimate","39,875","16,524","23,351"
"Montebello city, California","","",""
"    Estimate","61,547","28,697","32,850"
"Monterey city, California","","",""
"    Estimate","24,954","7,747","17,207"
"Monterey Park city, California","","",""
"    Estimate","59,434","26,698","32,736"
"Moorpark city, California","","",""
"    Estimate","36,249","9,441","26,808"
"Moreno Valley city, California","","",""
"    Estimate","212,748","88,104","124,644"
"Morgan Hill city, California","","",""
"    Estimate","45,685","12,473","33,212"
"Mountain View city, California","","",""
"    Estimate","82,325","17,112","65,213"
"Murrieta city, California","","",""
"    Estimate","115,143","34,099","81,044"
"Napa city, California","","",""
"    Estimate","77,314","26,210","51,104"
"National City city, California","","",""
"    Estimate","53,611","22,417","31,194"
"Newark city, California","","",""
"    Estimate","48,882","12,122","36,760"
"Newport Beach city, California","","",""
"    Estimate","84,251","22,839","61,412"
"Norco city, California","","",""
"    Estimate","23,381","6,515","16,866"
"North Highlands CDP, California","","",""
"    Estimate","45,245","19,449","25,796"
"North Tustin CDP, California","","",""
"    Estimate","24,426","5,282","19,144"
"Norwalk city, California","","",""
"    Estimate","103,217","38,413","64,804"
"Novato city, California","","",""
"    Estimate","55,424","21,254","34,170"
"Oakdale city, California","","",""
"    Estimate","25,654","9,180","16,474"
"Oakland city, California","","",""
"    Estimate","431,488","159,475","272,013"
"Oakley city, California","","",""
"    Estimate","42,480","10,153","32,327"
"Oceanside city, California","","",""
"    Estimate","171,258","62,638","108,620"
"Oildale CDP, California","","",""
"    Estimate","34,290","23,239","11,051"
"Ontario city, California","","",""
"    Estimate","184,564","74,491","110,073"
"Orange city, California","","",""
"    Estimate","134,088","38,101","95,987"
"Orangevale CDP, California","","",""
"    Estimate","33,793","11,588","22,205"
"Orcutt CDP, California","","",""
"    Estimate","31,442","11,306","20,136"
"Oxnard city, California","","",""
"    Estimate","207,928","85,860","122,068"
"Pacifica city, California","","",""
"    Estimate","38,441","11,600","26,841"
"Palmdale city, California","","",""
"    Estimate","154,847","65,007","89,840"
"Palm Desert city, California","","",""
"    Estimate","53,064","28,278","24,786"
"Palm Springs city, California","","",""
"    Estimate","48,264","28,155","20,109"
"Palo Alto city, California","","",""
"    Estimate","64,864","15,127","49,737"
"Paramount city, California","","",""
"    Estimate","53,639","27,117","26,522"
"Pasadena city, California","","",""
"    Estimate","139,871","44,159","95,712"
"Patterson city, California","","",""
"    Estimate","26,028","9,264","16,764"
"Perris city, California","","",""
"    Estimate","79,141","33,999","45,142"
"Petaluma city, California","","",""
"    Estimate","59,972","18,710","41,262"
"Pico Rivera city, California","","",""
"    Estimate","61,638","20,645","40,993"
"Pinole city, California","","",""
"    Estimate","21,523","7,815","13,708"
"Pittsburg city, California","","",""
"    Estimate","72,374","33,125","39,249"
"Placentia city, California","","",""
"    Estimate","51,092","11,568","39,524"
"Pleasant Hill city, California","","",""
"    Estimate","34,646","8,125","26,521"
"Pleasanton city, California","","",""
"    Estimate","81,589","16,465","65,124"
"Pomona city, California","","",""
"    Estimate","150,391","58,959","91,432"
"Porterville city, California","","",""
"    Estimate","58,793","33,528","25,265"
"Port Hueneme city, California","","",""
"    Estimate","24,831","11,958","12,873"
"Poway city, California","","",""
"    Estimate","48,934","16,704","32,230"
"Ramona CDP, California","","",""
"    Estimate","24,938","9,485","15,453"
"Rancho Cordova city, California","","",""
"    Estimate","74,851","31,988","42,863"
"Rancho Cucamonga city, California","","",""
"    Estimate","174,318","54,472","119,846"
"Rancho Palos Verdes city, California","","",""
"    Estimate","41,506","11,089","30,417"
"Rancho San Diego CDP, California","","",""
"    Estimate","24,344","8,954","15,390"
"Rancho Santa Margarita city, California","","",""
"    Estimate","47,866","8,812","39,054"
"Red Bluff city, California","","",""
"    Estimate","20,748","11,670","9,078"
"Redding city, California","","",""
"    Estimate","91,334","42,406","48,928"
"Redlands city, California","","",""
"    Estimate","70,964","22,218","48,746"
"Redondo Beach city, California","","",""
"    Estimate","66,634","11,355","55,279"
"Redwood City city, California","","",""
"    Estimate","85,054","23,220","61,834"
"Reedley city, California","","",""
"    Estimate","25,499","14,724","10,775"
"Rialto city, California","","",""
"    Estimate","103,337","47,104","56,233"
"Richmond city, California","","",""
"    Estimate","109,648","46,699","62,949"
"Ridgecrest city, California","","",""
"    Estimate","28,786","10,364","18,422"
"Rio Linda CDP, California","","",""
"    Estimate","20,229","8,635","11,594"
"Riverbank city, California","","",""
"    Estimate","24,769","9,187","15,582"
"Riverside city, California","","",""
"    Estimate","328,929","125,303","203,626"
"Rocklin city, California","","",""
"    Estimate","68,398","17,213","51,185"
"Rohnert Park city, California","","",""
"    Estimate","43,238","14,035","29,203"
"Rosamond CDP, California","","",""
"    Estimate","19,280","6,908","12,372"
"Rosemead city, California","","",""
"    Estimate","53,642","24,977","28,665"
"Rosemont CDP, California","","",""
"    Estimate","19,869","7,727","12,142"
"Roseville city, California","","",""
"    Estimate","140,615","40,262","100,353"
"Rowland Heights CDP, California","","",""
"    Estimate","48,645","19,133","29,512"
"Sacramento city, California","","",""
"    Estimate","509,254","207,862","301,392"
"Salinas city, California","","",""
"    Estimate","154,754","67,728","87,026"
"San Bernardino city, California","","",""
"    Estimate","206,957","100,942","106,015"
"San Bruno city, California","","",""
"    Estimate","42,728","9,782","32,946"
"San Buenaventura (Ventura) city, California","","",""
"    Estimate","107,860","41,081","66,779"
"San Carlos city, California","","",""
"    Estimate","30,153","6,848","23,305"
"San Clemente city, California","","",""
"    Estimate","64,191","16,201","47,990"
"San Diego city, California","","",""
"    Estimate","1,384,227","433,173","951,054"
"San Dimas city, California","","",""
"    Estimate","33,387","11,298","22,089"
"San Fernando city, California","","",""
"    Estimate","24,247","8,464","15,783"
"San Francisco city, California","","",""
"    Estimate","877,730","256,295","621,435"
"San Gabriel city, California","","",""
"    Estimate","39,398","15,740","23,658"
"Sanger city, California","","",""
"    Estimate","25,257","11,023","14,234"
"San Jacinto city, California","","",""
"    Estimate","48,666","23,433","25,233"
"San Jose city, California","","",""
"    Estimate","1,018,336","304,375","713,961"
"San Juan Capistrano city, California","","",""
"    Estimate","35,850","11,623","24,227"
"San Leandro city, California","","",""
"    Estimate","88,351","31,170","57,181"
"San Lorenzo CDP, California","","",""
"    Estimate","25,311","9,563","15,748"
"San Luis Obispo city, California","","",""
"    Estimate","47,220","11,281","35,939"
"San Marcos city, California","","",""
"    Estimate","96,316","30,290","66,026"
"San Mateo city, California","","",""
"    Estimate","104,084","21,483","82,601"
"San Pablo city, California","","",""
"    Estimate","30,628","13,586","17,042"
"San Rafael city, California","","",""
"    Estimate","57,646","24,284","33,362"
"San Ramon city, California","","",""
"    Estimate","75,958","11,289","64,669"
"Santa Ana city, California","","",""
"    Estimate","328,971","149,045","179,926"
"Santa Barbara city, California","","",""
"    Estimate","90,906","33,239","57,667"
"Santa Clara city, California","","",""
"    Estimate","129,970","24,227","105,743"
"Santa Clarita city, California","","",""
